destination,rank,activity_name,category,affinity_score
Hanoi,1,From Sa Pa: 4 Day Ha Giang Loop Guided Motorbike Tour With Rider,Outdoor Activities,0.9892
Hanoi,2,Sapa Motorbike Tour 2 Days 1 Night Off The Beaten Track,Outdoor Activities,0.9892
Hanoi,3,"Sapa Dirt Bike 2 Days Tour Backroad, Get Off The Beaten Path",Outdoor Activities,0.9892
Hanoi,4,Sapa Open Air Jeep 2 Days 1 Night Get Off The Beaten Path,Outdoor Activities,0.9892
Hanoi,5,Sapa 3 Days Trek with 2 Nights Homestay,Outdoor Activities,0.9892
Rome,1,Romantic Private Cruise with Yacht on the Tiber,Tour And Sight Seeing,0.9867
Rome,2,Colosseum Private Tour,Tour And Sight Seeing,0.9866
Rome,3,Moonlight Colosseum Tour Arena & Underground VIP Experience,Tour And Sight Seeing,0.9865
Rome,4,Semi Private Colosseum Tour With Access to Ancient City of Rome,Tour And Sight Seeing,0.9865
Rome,5,La Dolce Vita: Private Luxury Boat Ride in the Eternal City,Tour And Sight Seeing,0.9865
Marrakech,1,Desert Merzouga 3 days Privat Experience.,Tour And Sight Seeing,0.9787
Marrakech,2,Merzouga One Hour Qaud,__unk__,0.9764
Marrakech,3,Merzouga Sunset Camel Ride,__unk__,0.9764
Marrakech,4,Ouzoud Waterfall Day Trip From Marrakech,Tour And Sight Seeing,0.9763
Marrakech,5,Agafay Desert Sunset Trip with Dinner,Tour And Sight Seeing,0.9763
Dubai,1,Self-Drive 2000cc Dune Buggy from Dubai Desert,Cruises & Sailing,0.9924
Dubai,2,Can-am Maverick X3 Rs Turbo RR/ 195 HP/ 2 seater/ 1 Hour,Cruises & Sailing,0.9924
Dubai,3,Private Dubai 2 Hours Luxury Yacht Charter with BBQ Option,Cruises & Sailing,0.9924
Dubai,4,Exclusive Luxury Yacht Ride,Cruises & Sailing,0.9924
Dubai,5,1 Hour 4-Seater Can-A X3 Turbo Buggy Family Tour in Dubai,Cruises & Sailing,0.9923
Cairo,1,Egyptian Spicy Shop and Egyptian Cotton Shopping Private Tour,Tour And Sight Seeing,0.9898
Cairo,2,3-Hour Private Tour of Papyrus and Perfumes in Ancient Egypt,Tour And Sight Seeing,0.9898
Cairo,3,"Private Tour Giza Pyramids, Sphinx, Camel ride, Quad bike",Tour And Sight Seeing,0.9897
Cairo,4,"Book Giza Pyramids , Sphinx and Get free Camel ride Or Lunch",Tour And Sight Seeing,0.9897
Cairo,5,Guided Trip Visit The National Museum Of Egyptian Civilization,Tour And Sight Seeing,0.9897
